# time_s X_M Y_M Z_M
0.000000000000000000e+00 1.584893192000000079e-10 3.019951721000000089e-07 4.786300923000000064e-08
5.000000000000000278e-02 1.807192353559427831e-09 2.839849921793811789e-07 6.514712126353107082e-08
1.000000000000000056e-01 1.806141039328151637e-06 9.518088716258269845e-10 2.502738404203303746e-06
1.500000000000000222e-01 5.710534086464479815e-06 1.448058506011254108e-08 1.326088681128383844e-04
2.000000000000000111e-01 5.396196430503480692e-06 2.957785596762702840e-08 2.556786680891708595e-04
2.500000000000000000e-01 5.078508822439841108e-06 4.489537019703498918e-08 3.651158041871420119e-04
3.000000000000000444e-01 4.753573012962647481e-06 6.063677101553151912e-08 4.615120035329747707e-04
3.500000000000000333e-01 4.414806878287002955e-06 7.714981188356223765e-08 5.453102692179325828e-04
4.000000000000000222e-01 4.049284716758210069e-06 9.512878050601900508e-08 6.167159628385835953e-04
4.500000000000000111e-01 3.624024471106396961e-06 1.164011929533105611e-07 6.754421901479998325e-04
5.000000000000000000e-01 2.982260702758261965e-06 1.505539842509294947e-07 7.195256455062833470e-04
5.500000000000000444e-01 5.146361226564361910e-11 1.256174186724904959e-05 7.191414005442245969e-04
6.000000000000000888e-01 5.056509145044316343e-11 4.739113697080409113e-05 6.840696318278370516e-04
6.500000000000000222e-01 5.043534036864104102e-11 8.023808113819972873e-05 6.507083258584524764e-04
7.000000000000000666e-01 5.038317700016471565e-11 1.112015293448566795e-04 6.189740680605951371e-04
7.500000000000000000e-01 5.035487884093315349e-11 1.403755992032814043e-04 5.887875072133322198e-04
8.000000000000000444e-01 5.033698309101878070e-11 1.678498018517383538e-04 5.600731615968656792e-04
8.500000000000000888e-01 5.032453143867584962e-11 1.937092665516080138e-04 5.327592303223510888e-04
9.000000000000000222e-01 5.031526500578984492e-11 2.180349527667946655e-04 5.067774151646390257e-04
9.500000000000000666e-01 5.030801327570418565e-11 2.409038549627695201e-04 4.820627485201662123e-04
1.000000000000000000e+00 5.030210748003896394e-11 2.623891963813751080e-04 4.585534306373091769e-04
1.050000000000000044e+00 5.029714180406543894e-11 2.825606124658352689e-04 4.361906755531785927e-04
1.100000000000000089e+00 5.029285408285476699e-11 3.014843251074915214e-04 4.149185647508131318e-04
1.150000000000000133e+00 5.028906819053771303e-11 3.192233091040802117e-04 3.946839073674525519e-04
1.200000000000000178e+00 5.028565992338070628e-11 3.358374514347648582e-04 3.754361064432425003e-04
1.250000000000000000e+00 5.028254350270182182e-11 3.513837022822667165e-04 3.571270321086606717e-04
1.300000000000000044e+00 5.027965437656148256e-11 3.659162177993174653e-04 3.397109017123917780e-04
1.350000000000000089e+00 5.027694697127744735e-11 3.794864960219620619e-04 3.231441657094718959e-04
1.400000000000000133e+00 5.027438275034522155e-11 3.921435065952065557e-04 3.073853987494177338e-04
1.450000000000000178e+00 5.027193574803165176e-11 4.039338144142855052e-04 2.923951958769646945e-04
1.500000000000000000e+00 5.026958422410199161e-11 4.149016971048790476e-04 2.781360739093919070e-04
1.550000000000000044e+00 5.026731119353607797e-11 4.250892567341325650e-04 2.645723776607058499e-04
1.600000000000000089e+00 5.026510343075442200e-11 4.345365263504905517e-04 2.516701905098159926e-04
1.650000000000000133e+00 5.026295081967500792e-11 4.432815702681961768e-04 2.393972502229812767e-04
1.700000000000000178e+00 5.026084448558091301e-11 4.513605803416751491e-04 2.277228681436832157e-04
1.750000000000000000e+00 5.025877739525758750e-11 4.588079675760342005e-04 2.166178522991335888e-04
1.800000000000000044e+00 5.025674471453826236e-11 4.656564490959273859e-04 2.060544344044845546e-04
1.850000000000000089e+00 5.025474181104202573e-11 4.719371308829046845e-04 1.960062004200041131e-04
1.900000000000000133e+00 5.025276441388421421e-11 4.776795864652322852e-04 1.864480245064368386e-04
1.950000000000000178e+00 5.025081008369917180e-11 4.829119317348282191e-04 1.773560062316945367e-04
2.000000000000000000e+00 5.024887697076660243e-11 4.876608960246934642e-04 1.687074109166716840e-04
2.050000000000000266e+00 5.024696263557865260e-11 4.919518902313142501e-04 1.604806124615007132e-04
2.100000000000000089e+00 5.024506431588906523e-11 4.958090708704984305e-04 1.526550395851917271e-04
2.149999999999999911e+00 5.024318202976833105e-11 4.992554014505536705e-04 1.452111243167917946e-04
2.200000000000000178e+00 5.024131647160173264e-11 5.023127108498443580e-04 1.381302530007127538e-04
2.250000000000000000e+00 5.023946290487041616e-11 5.050017487506173195e-04 1.313947197725284538e-04
2.300000000000000266e+00 5.023762364567261335e-11 5.073422383813113628e-04 1.249876822935019308e-04
2.350000000000000089e+00 5.023579697458178946e-11 5.093529266897141392e-04 1.188931196410322852e-04
2.400000000000000355e+00 5.023398279062034941e-11 5.110516319957414356e-04 1.130957923140472979e-04
2.450000000000000178e+00 5.023218077976917462e-11 5.124552896723960811e-04 1.075812038929508074e-04
2.500000000000000000e+00 5.023039070798759203e-11 5.135799950464629881e-04 1.023355650324707649e-04
2.550000000000000266e+00 5.022861241567432716e-11 5.144410445572174294e-04 9.734575891609364821e-05
2.600000000000000089e+00 5.022684580910870509e-11 5.150529748550959543e-04 9.259930843895545984e-05
2.650000000000000355e+00 5.022509082654754151e-11 5.154295999689349674e-04 8.808434501124047555e-05
2.700000000000000178e+00 5.022334744650791548e-11 5.155840466611204178e-04 8.378957888192101601e-05
2.750000000000000000e+00 5.022161567519563321e-11 5.155287880493811909e-04 7.970427091675472261e-05
2.800000000000000266e+00 5.021989554194678439e-11 5.152756755756990499e-04 7.581820576300191778e-05
2.850000000000000089e+00 5.021818709418666437e-11 5.148359696141509593e-04 7.212166615602306704e-05
2.900000000000000355e+00 5.021649039360394754e-11 5.142203681592720770e-04 6.860540883622794496e-05
2.950000000000000178e+00 5.021480551252983344e-11 5.134390344718363841e-04 6.526064134067580645e-05
3.000000000000000000e+00 5.021313253115365342e-11 5.125016232660861530e-04 6.207900001830783763e-05
3.050000000000000266e+00 5.021147153509841073e-11 5.114173056193749810e-04 5.905252911698114215e-05
3.100000000000000089e+00 5.020982261341994046e-11 5.101947926666786613e-04 5.617366088990498232e-05
3.150000000000000355e+00 5.020818585694938826e-11 5.088423581002476069e-04 5.343519670446613020e-05
3.200000000000000178e+00 5.020656135687174564e-11 5.073678597310532718e-04 5.083028893813323201e-05
3.250000000000000000e+00 5.020494920361982556e-11 5.057787597626766220e-04 4.835242395451469028e-05
3.300000000000000266e+00 5.020334948592957039e-11 5.040821441924485521e-04 4.599540581158201340e-05
3.350000000000000089e+00 5.020176229006817614e-11 5.022847412885044069e-04 4.375334074512608415e-05
3.400000000000000355e+00 5.020018769922062811e-11 5.003929391376184775e-04 4.162062243175783936e-05
3.450000000000000178e+00 5.019862579300278240e-11 4.984128023365233355e-04 3.959191797046309250e-05
3.500000000000000000e+00 5.019707664708280792e-11 4.963500878558905344e-04 3.766215455823724770e-05
3.550000000000000266e+00 5.019554033289009638e-11 4.942102601614240063e-04 3.582650678895812175e-05
3.600000000000000089e+00 5.019401691740205654e-11 4.919985056127416717e-04 3.408038455815300035e-05
3.650000000000000355e+00 5.019250646300902520e-11 4.897197460369408879e-04 3.241942166016674627e-05
3.700000000000000178e+00 5.019100902741839183e-11 4.873786517720223206e-04 3.083946483010257123e-05
3.750000000000000000e+00 5.018952466361232190e-11 4.849796540271425222e-04 2.933656335892244758e-05
3.800000000000000266e+00 5.018805341984446108e-11 4.825269566393083453e-04 2.790695921492258264e-05
3.850000000000000089e+00 5.018659533966972016e-11 4.800245472558704591e-04 2.654707764696093847e-05
3.900000000000000355e+00 5.018515046200191927e-11 4.774762079468170537e-04 2.525351826608646311e-05
3.950000000000000178e+00 5.018371882118906773e-11 4.748855254068660493e-04 2.402304647133781190e-05
